run_id,experiment_variant,ansatz_mode,backend,seed,qubits,parameters,iterations,function_evaluations,wall_seconds,time_per_evaluation_ms,energy_hartree,reference_hartree,absolute_error_mhartree,chemical_accuracy_reached,gpu_model,driver_version,cudaq_version,project_version,git_commit_sha
20260727T205040Z-751168,lih_active_hamiltonian_legacy_full_ansatz_v01,legacy_full,gpu_fp64,42,12,92,1500,1500,1058.825,705.8835,-7.875239637978,-7.882164000000,6.924362e+00,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T210820Z-7d813c,lih_active_hamiltonian_legacy_full_ansatz_v01,legacy_full,gpu_fp64,43,12,92,1500,1500,1064.998,709.9987,-7.876328326841,-7.882164000000,5.835673e+00,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T212606Z-25451b,lih_active_hamiltonian_legacy_full_ansatz_v01,legacy_full,gpu_fp64,44,12,92,1500,1500,1068.914,712.6094,-7.756152811124,-7.882164000000,1.260112e+02,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T214355Z-5e0095,lih_active_hamiltonian_legacy_full_ansatz_v01,legacy_full,gpu_fp64,45,12,92,1500,1500,1071.834,714.5562,-7.871353700618,-7.882164000000,1.081030e+01,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T220147Z-e33f76,lih_active_hamiltonian_legacy_full_ansatz_v01,legacy_full,gpu_fp64,46,12,92,1500,1500,1079.644,719.7626,-7.875858914152,-7.882164000000,6.305086e+00,False,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T231945Z-27c252,lih_active_space_matched_ansatz_v02,matched,cpu,42,10,24,1158,1158,849.188,733.3234,-7.882164029898,-7.882164000000,2.989769e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T233354Z-c1db48,lih_active_space_matched_ansatz_v02,matched,cpu,43,10,24,1134,1134,831.190,732.9716,-7.882164029898,-7.882164000000,2.989761e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T234745Z-202bdf,lih_active_space_matched_ansatz_v02,matched,cpu,44,10,24,976,976,715.160,732.7458,-7.882164029898,-7.882164000000,2.989781e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T235941Z-8ea6e0,lih_active_space_matched_ansatz_v02,matched,cpu,45,10,24,1055,1055,772.881,732.5887,-7.882164029898,-7.882164000000,2.989767e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260728T001234Z-9ad25b,lih_active_space_matched_ansatz_v02,matched,cpu,46,10,24,953,953,698.474,732.9216,-7.882164029897,-7.882164000000,2.989708e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T221947Z-11edeb,lih_active_space_matched_ansatz_v02,matched,gpu_fp64,42,10,24,1037,1037,726.122,700.2144,-7.882164029897,-7.882164000000,2.989729e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T223153Z-1201f1,lih_active_space_matched_ansatz_v02,matched,gpu_fp64,43,10,24,1047,1047,730.719,697.9166,-7.882164029897,-7.882164000000,2.989704e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T224404Z-1fa087,lih_active_space_matched_ansatz_v02,matched,gpu_fp64,44,10,24,1036,1036,723.261,698.1288,-7.882164029897,-7.882164000000,2.989735e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T225607Z-9108de,lih_active_space_matched_ansatz_v02,matched,gpu_fp64,45,10,24,1001,1001,699.027,698.3284,-7.882164029897,-7.882164000000,2.989701e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
20260727T230747Z-bbee34,lih_active_space_matched_ansatz_v02,matched,gpu_fp64,46,10,24,1029,1029,717.865,697.6340,-7.882164029897,-7.882164000000,2.989732e-05,True,NVIDIA RTX PRO 6000 Blackwell Server Edition,580.173.02,0.14.2,0.1.0,
